post_id,title,category,score,num_comments,author,collected_at
47661065,"The Team Behind a Pro-Iran, Lego-Themed Viral-Video Campaign",technology,67,81,tantalor,2026-04-06 22:25:28
47653589,Women were never meant to give birth on their backs,other,64,22,ilt,2026-04-06 22:25:29
47649113,Finnish sauna heat exposure induces stronger immune cell than cytokine responses,other,372,269,Growtika,2026-04-06 22:25:30
47646472,Aegis – open-source FPGA silicon,other,140,33,rosscomputerguy,2026-04-06 22:25:31
47613272,Tracing Goroutines in Realtime with eBPF,other,78,9,darccio,2026-04-06 22:25:32
47644406,German implementation of eIDAS will require an Apple/Google account to function,other,561,625,DyslexicAtheist,2026-04-06 22:25:33
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,518,233,naves,2026-04-06 22:25:33
47649701,Perfmon – Consolidate your favorite CLI monitoring tools into a single TUI,other,53,11,paperplaneflyr,2026-04-06 22:25:34
47656335,Does coding with LLMs mean more microservices?,technology,56,58,jer0me,2026-04-06 22:25:35
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,77,9,lexalizer,2026-04-06 22:25:36
47658388,NIMBY Rails,technology,35,4,altilunium,2026-04-06 22:25:37
47651479,From birds to brains: My path to the fusiform face area (2024),technology,39,0,everbody,2026-04-06 22:25:38
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,6,0,ryan_j_naughton,2026-04-06 22:25:39
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,192,132,1vuio0pswjnm7,2026-04-06 22:25:40
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,169,28,laszlokorte,2026-04-06 22:25:41
47662229,The secretive plan for a Maine data center collapsed in 6 days,technology,6,0,PLenz,2026-04-06 22:25:42
47646843,Lisette a little language inspired by Rust that compiles to Go,other,261,145,jspdown,2026-04-06 22:25:42
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,61,32,alvivanco,2026-04-06 22:25:43
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,116,53,waveywaves,2026-04-06 22:25:44
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1083,822,firloop,2026-04-06 22:25:45
47652324,LibreOffice – Let's put an end to the speculation,other,189,117,eisa01,2026-04-06 22:25:46
47604887,Electrical transformer manufacturing is throttling the electrified future,other,116,120,toomuchtodo,2026-04-06 22:25:47
47638043,Rendering arbitrary-scale emojis using the Slug algorithm,other,17,0,leduyquang753,2026-04-06 22:25:48
47636228,Spath and Splan,other,13,0,jasonmoo,2026-04-06 22:25:49
47631118,Artemis II crew take “spectacular” image of Earth,other,1064,380,andsoitis,2026-04-06 22:25:50
47637757,Embarrassingly simple self-distillation improves code generation,technology,644,198,Anon84,2026-04-06 22:25:51
47659603,Upwork Inc. violates its own DMARC and SPF policy,other,5,5,tmcdos,2026-04-06 22:25:51
47648404,My Google Workspace account suspension,science,360,213,zenincognito,2026-04-06 22:25:52
47660496,U.S. Lawmakers Work on Unified Site-Blocking Bill to Counter Online Piracy,other,4,0,t-3,2026-04-06 22:25:53
47655480,Make Humans Analog Again,technology,9,0,muunbo,2026-04-06 22:25:54
47608040,Shared mutable state in Rust (2022),other,46,7,vinhnx,2026-04-06 22:25:55
47660349,New fibre optic data transmission speed record of 450Tbps,technology,4,0,giuliomagnifico,2026-04-06 22:25:56
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",other,397,156,crcastle,2026-04-06 22:25:57
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,other,72,16,petalmind,2026-04-06 22:26:00
47616361,Google releases Gemma 4 open models,other,1799,470,jeffmcjunkin,2026-04-06 22:26:01
47658164,I stopped hitting Claude's usage limits – things I changed,other,18,5,taubek,2026-04-06 22:26:01
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,20,5,mikhael,2026-04-06 22:26:02
47659135,Sam Altman May Control Our Future – Can He Be Trusted?,other,100,45,adrianhon,2026-04-06 22:26:03
47645432,Introduction to Computer Music (2009) [pdf],technology,227,79,luu,2026-04-06 22:26:04
47645305,Demonstrating Real Time AV2 Decoding on Consumer Laptops,other,54,16,breve,2026-04-06 22:26:05
47648638,Docker Offload,other,25,8,redbell,2026-04-06 22:26:06
47662442,More Americans Are Breaking into the Upper Middle Class,other,22,54,alephnerd,2026-04-06 22:26:07
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,47,12,mikhael,2026-04-06 22:26:08
47656146,"New Copilot for Windows 11 includes a full Microsoft Edge package, uses more RAM",other,35,4,aaronsung,2026-04-06 22:26:08
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-06 22:26:09
47649117,Someone at BrowserStack is leaking users' email addresses,technology,380,104,m_km,2026-04-06 22:26:11
47654753,NMS Ceefax: Remember teletext? This is the same,other,8,0,CharlesW,2026-04-06 22:26:12
47637077,Scientists mapped all the nerves of the clitoris for the first time,other,43,12,01-_-,2026-04-06 22:26:13
47649811,"Japanese, French and Omani vessels cross Strait of Hormuz",technology,157,232,vrganj,2026-04-06 22:26:14
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,419,268,eichin,2026-04-06 22:26:15
47649148,Iguanaworks has closed and our products are no longer sold,other,96,22,ripe,2026-04-06 22:26:16
47617233,The Enigma of Gertrude Stein,other,24,3,samclemens,2026-04-06 22:26:17
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,other,1272,644,axelriet,2026-04-06 22:26:18
47658215,The end of password pain: building frictionless authentication at the Guardian,technology,8,3,Tomte,2026-04-06 22:26:19
47658204,PlayStation 3 emulator makes Cell CPU 'breakthrough' that improves performance,other,9,0,adunk,2026-04-06 22:26:20
47640875,"LLM Wiki – example of an ""idea file""",technology,287,90,tamnd,2026-04-06 22:26:21
47654219,TreeSheets: Free Form Data Organizer (Hierarchical Spreadsheet),technology,13,1,n3t,2026-04-06 22:26:22
47656695,"Anthropic has a blacklist on the word ""OpenClaw""",other,20,5,benn67,2026-04-06 22:26:23
47656608,Show HN: Multi-agent coding assistant with a sandboxed Rust execution engine,entertainment,9,2,chrismeurer,2026-04-06 22:26:24
47642569,How many products does Microsoft have named 'Copilot'?,other,801,375,gpi,2026-04-06 22:26:24
47653975,Qwen-3.6-Plus is the first model to break 1T tokens processed in a day,other,56,19,Alifatisk,2026-04-06 22:26:25
47653471,"Musician says AI company is cloning her music, filing claims against her",technology,115,19,lando2319,2026-04-06 22:26:26
47644566,"Advice to young people, the lies I tell myself (2024)",other,165,59,mooreds,2026-04-06 22:26:27
47628608,OpenClaw privilege escalation vulnerability,other,511,255,kykeonaut,2026-04-06 22:26:28
47641141,IBM 3270 Information Display System: Color and Programmed Symbols (1979) [pdf],other,56,13,hggh,2026-04-06 22:26:29
