post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47661439,I Won't Download Your App. The Web Version Is A-OK,other,492,254,ssiddharth,2026-04-06 22:24:29,0.5152129817444219,True
47660954,"Germany Doxes ""UNKN,"" Head of RU Ransomware Gangs REvil, GandCrab",worldnews,129,53,Bender,2026-04-06 22:24:30,0.4076923076923077,False
47662658,sc-im Spreadsheets in Your Terminal,other,29,4,m-hodges,2026-04-06 22:24:31,0.13333333333333333,False
47660925,Claude Code is unusable for complex engineering tasks with the Feb updates,technology,169,99,StanAngeloff,2026-04-06 22:24:33,0.5823529411764706,False
47662857,81yo Dodgers fan can no longer get tickets because he doesn't have a smartphone,other,81,53,josephcsible,2026-04-06 22:24:33,0.6463414634146342,False
47662234,A Cryptography Engineer's Perspective on Quantum Computing Timelines,other,33,1,thadt,2026-04-06 22:24:34,0.029411764705882353,False
47663207,Show HN: I Built Paul Graham's Intellectual Captcha Idea,entertainment,7,0,nowflux,2026-04-06 22:24:35,0.0,False
47663147,Launch HN: Freestyle: Sandboxes for AI Coding Agents,technology,6,1,benswerd,2026-04-06 22:24:36,0.14285714285714285,False
47660286,What Being Ripped Off Taught Me,other,193,121,doctorhandshake,2026-04-06 22:24:37,0.6237113402061856,False
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,753,114,armanified,2026-04-06 22:24:39,0.15119363395225463,True
47651703,Microsoft hasn't had a coherent GUI strategy since Petzold,other,700,474,naves,2026-04-06 22:24:40,0.6761768901569187,True
47656622,An open-source 240-antenna array to bounce signals off the Moon,other,212,43,hillcrestenigma,2026-04-06 22:24:41,0.20187793427230047,False
47652561,Gemma 4 on iPhone,other,782,220,janandonly,2026-04-06 22:24:42,0.280970625798212,True
47658146,France pulls last gold held in US for $15B gain,technology,459,252,teleforce,2026-04-06 22:24:43,0.5478260869565217,True
47662596,AI Singer Now Occupies Eleven Spots on iTunes Singles Chart,technology,26,21,flinner,2026-04-06 22:24:44,0.7777777777777778,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,232,145,keepamovin,2026-04-06 22:24:45,0.6223175965665236,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,212,21,karimf,2026-04-06 22:24:46,0.09859154929577464,False
47613827,One ant for $220: The new frontier of wildlife trafficking,other,92,16,gmays,2026-04-06 22:24:46,0.17204301075268819,False
47637377,LÖVE: 2D Game Framework for Lua,sports,378,191,cl3misch,2026-04-06 22:24:47,0.503957783641161,True
47637116,"Signals, the push-pull based algorithm",other,122,32,mpweiher,2026-04-06 22:24:48,0.2601626016260163,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,100,50,stevebmark,2026-04-06 22:24:49,0.49504950495049505,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,358,90,vbtechguy,2026-04-06 22:24:52,0.25069637883008355,True
47636456,Sheets Spreadsheets in Your Terminal,other,155,37,_____k,2026-04-06 22:24:53,0.23717948717948717,False
47661231,When Virality Is the Message: The New Age of AI Propaganda,technology,38,29,virgildotcodes,2026-04-06 22:24:54,0.7435897435897436,False
47652322,Music for Programming,entertainment,292,149,merusame,2026-04-06 22:24:55,0.5085324232081911,True
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,129,18,ikessler,2026-04-06 22:24:56,0.13846153846153847,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,110,53,salt4034,2026-04-06 22:24:56,0.4774774774774775,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,291,179,nevernothing,2026-04-06 22:24:57,0.613013698630137,True
47652400,Why Switzerland has 25 Gbit internet and America doesn't,other,706,581,sschueller,2026-04-06 22:24:58,0.8217821782178217,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,386,238,thisislife2,2026-04-06 22:24:59,0.6149870801033591,True
47658743,Number in man page titles e.g. sleep(3),other,102,58,thunderbong,2026-04-06 22:25:00,0.5631067961165048,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,91,18,mohshomis,2026-04-06 22:25:01,0.1956521739130435,False
47662866,"I Replaced Kafka, Redis, and RabbitMQ with One Tool – A Deep Dive into NATS",other,6,0,jainal09,2026-04-06 22:25:02,0.0,False
47647455,Caveman: Why use many token when few token do trick,other,832,347,tosh,2026-04-06 22:25:03,0.41656662665066024,True
47648828,"Eight years of wanting, three months of building with AI",technology,874,276,brilee,2026-04-06 22:25:04,0.31542857142857145,True
